IR,AUC,F1,ACC,ACC_0,ACC_1,G-mean,time,time_std
1.780,0.690,0.765,0.733,0.750,0.722,0.736,6.976,0
1.780,0.699,0.750,0.667,0.625,0.682,0.653,4.998,0
1.780,0.695,0.732,0.633,0.400,0.750,0.548,4.867,0
1.780,0.566,0.529,0.467,0.385,0.529,0.451,4.951,0
1.780,0.746,0.829,0.767,0.667,0.810,0.735,4.784,0
1.780,0.714,0.780,0.690,0.571,0.727,0.645,4.781,0
1.780,0.768,0.727,0.690,0.800,0.632,0.711,4.761,0
1.780,0.763,0.788,0.759,0.818,0.722,0.769,5.002,0
1.780,0.769,0.750,0.724,0.692,0.750,0.721,4.769,0
1.780,0.861,0.769,0.690,0.385,0.938,0.600,5.040,0
